"Titel","Original Titel","Autor(en)","Sprache","ISBN","DDR Lizenznummer"
"Das Versteck der Burg",,"Sabine Blazy","deutsch","3-522-17451-8",
"Der dunkle Turm",,"Sabine Blazy","deutsch","3-522-17375-9",
"Schöne Scheine",,"Terry Pratchett","deutsch","978-3-442-54631-2",
"Angel: Close to the Ground",,"Jeff Mariotte","englisch","0-671-04147-9",
"Angel: Not Forgotten",,"Nancy Holder","englisch","0-671-04145-2",
"Angel: City Of",,"Nancy Holder","englisch","0-671-04144-4",
"Buffy the Vampire Slayer: Ghoul Trouble",,"John Passarella","englisch","0-7434-0042-9",
"Buffy the Vampire Slayer: Unnatural Selection",,"Mel Odom","englisch","0-671-02630-5",
"Buffy the Vampire Slayer: Prime Evil",,"Diana G. Gallagher","englisch","0-671-03930-X",
"Roswell High: The Salvation",,"Melinda Metz","englisch","0-671-03564-9",
"Roswell High: The Dark One",,"Melinda Metz","englisch","0-671-03563-0",
"Roswell High: The Rebel",,"Melinda Metz","englisch","0-671-03562-2",
"Roswell High: The Vanished",,"Melinda Metz","englisch","0-671-03561-4",
"Roswell High: The Stowaway",,"Melinda Metz","englisch","0-671-02379-9",
"Roswell High: The Intruder",,"Melinda Metz","englisch","0-671-77459-X",
"Roswell High: The Watcher",,"Melinda Metz","englisch","0-7434-0881-0",
"Roswell High: The Seeker",,"Melinda Metz","englisch","0-671-77464-6",
"Roswell: No Good Deed",,"Dean Wesley Smith, Kristine Kathryn Rusch","englisch","0-7434-1835-2",
"Buffy the Vampire Slayer: Child of the Hunt",,"Christopher Golden, Nancy Holder","englisch","0-671-02135-4",
"Buffy the Vampire Slayer: Return to Chaos",,"Craig Shaw Gardner","englisch","0-671-02136-2",
"Buffy - Das inoffizielle Fanbuch",,"Christian Lukas, Sascha Westphal","deutsch","3-426-61354-9",
"Buffy - Die Jagd geht weiter",,"Christian Lukas, Sascha Westphal","deutsch","3-426-61851-6",
"Buffy - Die neuen Abenteuer",,"Christian Lukas, Sascha Westphal","deutsch","3-426-61706-4",
"Buffy - Die Jägerin schlägt zurück",,"Christian Lukas, Sascha Westphal","deutsch","3-426-62079-0",
"Zauberhafte Schwestern: Im Reich der Schatten",,"Torsten Dewi","deutsch","3-8025-3257-0",
"Only Human",,"Tom Holt","englisch","1-85723-949-0",
"Richards Blockbuster",,"Tom Holt","deutsch","3-453-12232-1",
"Auch Götter sind nur Menschen","Odds and Gods","Tom Holt","deutsch","3-453-11935-5",
"Snottys Gral","Grailblazers","Tom Holt","deutsch","3-453-10972-4",
"Wish You Were Here",,"Tom Holt","englisch","1-85723-687-4",
"Mein Held","My Hero","Tom Holt","deutsch","3-453-14933-5",
"Immer Ärger mit Georgie","Paint Your Dragon","Tom Holt","deutsch","3-453-14030-3",
"Falling Sideways",,"Tom Holt","englisch","1-84149-110-1",
"Die Saga von Garth und Torian II",,"Wolfgang Hohlbein","deutsch","3-442-24702-0",
"Die Rückkehr der Zauberer",,"Wolfgang Hohlbein","deutsch","3-404-13969-0",
"Märchenmonds Kinder",,"Wolfgang Hohlbein, Heike Hohlbein","deutsch","3-453-13573-3",
"Der Inquisitor",,"Wolfgang Hohlbein","deutsch","3-404-13627-6",
"Im Netz der Spinnen",,"Wolfgang Hohlbein","deutsch","3-453-13090-1",
"Das Druidentor",,"Wolfgang Hohlbein","deutsch","3-453-08843-3",
"Dinoland",,"Wolfgang Hohlbein","deutsch","3-404-13949-6",
"Die grösste Show jenseits der Welt","The Greatest Show Off Earth","Robert Rankin","deutsch","3-404-24210-6",
"Jäger des verlorenen Parkplatzes","Raiders of the Lost Car Park","Robert Rankin","deutsch","3-404-24204-1",
"Der Garten unirdischer Gelüste","The Garden of Unearthly Delights","Robert Rankin","deutsch","3-404-24225-4",
"Die Akte Brentford","The Brentford Triangle","Robert Rankin","deutsch","3-404-24247-5",
"Jenseits von Ealing","East of Ealing","Robert Rankin","deutsch","3-404-24255-6",
"Der wundersamste Mann, der jemals lebte","The Most Amazing Man Who Ever Lived","Robert Rankin","deutsch","3-404-24216-5",
"Der Antipapst","The Antipope","Robert Rankin","deutsch","3-404-24246-7",
"Das Buch der allerletzten Wahrheiten","The Book of Ultimate Truths","Robert Rankin","deutsch","3-404-24201-7",
"Per Anhalter durch die Galaxis","The Hitchhiker's Guide to the Galaxy","Douglas Adams","deutsch","3-548-22491-1",
"Der Tiefere Sinn des Labenz","The Deeper Meaning of Liff","Douglas Adams","deutsch","3-453-09982-6",
"Dirk Gently's Holistische Detektei","Dirk Gently's Holistic Detective Agency","Douglas Adams","deutsch","3-548-22231-5",
"Der lange dunkle Fünfuhrtee der Seele","The Long Dark Tea-Time of the Soul","Douglas Adams","deutsch","3-548-22539-X",
"Die Letzten ihrer Art","Last Chance to See...","Douglas Adams, Mark Carwardine","deutsch","3-453-06115-2",
"Per Anhalter durch die Galaxis (Comic)","The Hitchhiker's Guide to the Galaxy (Comic)","Douglas Adams","deutsch","3-453-11700-X",
"Das Leben, das Universum und der ganze Rest / Macht's gut, und Danke für den Fisch","Life, The Universe and Everything / So Long, and Thanks for All the Fish","Douglas Adams","deutsch","3-548-23681-2",
"Das Erbe des Zauberers","Equal Rites","Terry Pratchett","deutsch","3-453-03451-1",
"Terry Pratchetts Scheibenwelt-Quizbuch","Terry Pratchett's Discworld Quizbook","David Langford","deutsch","3-442-44514-0",
"Strata","Strata","Terry Pratchett","deutsch","978-3-453-05834-7",
"Wachen! Wachen!","Guards! Guards!","Terry Pratchett","deutsch","3-453-05029-0",
"Gefährliche Possen","The Wizards of Odd - Comic Tales of Fantasy","diverse","deutsch","3-453-13343-9",
"Die Farben der Magie","The Colour of Magic","Terry Pratchett","deutsch","3-453-05860-7",
"Nur Du kannst die Menschheit retten","Only You Can Save Mankind","Terry Pratchett","deutsch","3-442-42633-2",
"Nur Du kannst sie verstehen","Johnny and the Dead","Terry Pratchett","deutsch","3-442-42634-0",
